day,raw_variance,smoothed_variance
2.0,0.0,0.0
3.0,0.08267048086866909,0.04133524043433454
4.0,0.06761401623240247,0.050094832367023855
5.0,0.13235542298390304,0.07065998002124366
6.0,0.17540247625164698,0.09160847926732432
7.0,0.07969623381601348,0.08962310502543917
8.0,0.13777947275790306,0.09650258613007688
9.0,0.10034398481242557,0.11083744110328053
10.0,0.1071001566095632,0.11432739478055111
11.0,0.15782806163204322,0.12721511555192838
12.0,0.11179196605048258,0.12427747884715401
13.0,0.09132543776602493,0.11226647334920802
14.0,0.10158160635686281,0.1153929551407579
15.0,0.147005807466001,0.11671100295620047
16.0,0.08048922782100999,0.11387460910028395
17.0,0.04678027176664116,0.10525748269415224
18.0,0.050844324466754215,0.08997409167053952
19.0,0.07504231577951696,0.08472414163183016
20.0,0.06402087724045115,0.08082349012817676
21.0,0.06463418783160846,0.07554528748171185
22.0,0.14958535112771362,0.07591379371909936
23.0,0.09022809941271855,0.07730506108934344
24.0,0.08307242658380047,0.08248965463465192
25.0,0.08908499930207119,0.08795260818255433
26.0,0.09558012654762249,0.09088658114942656
27.0,0.04820033589738617,0.08862650381470301
28.0,0.06815706494171514,0.08912977197328965
